	tweetUrl	time	text	replies	retweets	likes	date	iso_2
57	/O_Naimad/status/1212869343530430464	2020-01-02 16:52:40	 #IMPORTANTE Según estudios realizados por #INEC, de los últimos 3 años #Ecuador llega al nivel más alto de desempleo. Alrededor de 5 millones de ciudadanos no tienen empleo adecuado. #Quito es una de las ciudades con situación de desempleo crítica. https://www.facebook.com/100002382194893/posts/2604410819648299/ …	0	1	0	2020-01-02	EC
56	/AguilarPaolo/status/1212861511171035137	2020-01-02 16:21:32	Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos …	0	1	0	2020-01-02	EC
55	/MetroEcuador/status/1212857208104509441	2020-01-02 16:04:26	"#MetroNoticias #DesempleoEcuador
El INEC emitió un informe indicando que Ecuador llegó al nivel más alto de desempleo en los últimos tres años.  https://bit.ly/2QDhu5C pic.twitter.com/blhfBASqfS"	1	13	9	2020-01-02	EC
54	/revistavistazo/status/1212748336626839554	2020-01-02 08:51:49	¡Vea qué informó el Instituto Nacional de Estadística y Censos (#INEC) sobre el nivel de desempleo y subempleo en Ecuador! http://bit.ly/2rPcrH1 	160	630	447	2020-01-02	EC
49	/jopama_ec/status/1212883607397818370	2020-01-02 17:49:20	"Obra de @MashiRafael y que continúa bajo @Lenin. 

El desempleo aumenta en el Ecuador y aumenta la informalidad para poder subsistir el pan de cada día. 

 pic.twitter.com/S9KBn1oi5g"	0	3	4	2020-01-02	EC
51	/LAVOZDEDAULE/status/1212841278578286592	2020-01-02 15:01:08	" EN VIVO

Atento Ecuador según estudios realizados por #INEC, de los últimos 3 años #Ecuador llega al nivel más alto de desempleo. Alrededor de 5 millones de ciudadanos no tienen empleo adecuado.
 #Quito es una de las ciudades con situación de desempleo crítica.
#Daule #Ecuador pic.twitter.com/ooyDCy0ZNp"	0	0	2	2020-01-02	EC
50	/veronicalbuja/status/1212838935132549120	2020-01-02 14:51:50	#Alerta #Ecuador llega al nivel más alto de #Desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … vía @revistavistazo @AsambleaEcuador @CorteConstEcu @andreselmonol @CarlosVerareal @EcuavisaInforma @democraciaec @radiocentroec @visionquito @ONUecuador @ArnaudPeral	0	0	0	2020-01-02	EC
61	/locurastereoec/status/1212853107174105088	2020-01-02 15:48:09	Ecuador llega al nivel más alto de desempleo en los últimos tres años http://locurastereoradiotv.com/2020/01/02/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-los-ultimos-tres-anos/ … pic.twitter.com/Ao7FnY2nHH	0	0	0	2020-01-02	EC
48	/confirmadonet/status/1212837460352352257	2020-01-02 14:45:58	ECUADOR llega al nivel más alto de desempleo en últimos 3 años https://confirmado.net/2020/01/02/162717/ … pic.twitter.com/CVzirwN4rf	0	7	6	2020-01-02	EC
47	/rvkenobi/status/1212837141358747655	2020-01-02 14:44:42	El desempleo es consecuencia directa de las políticas del estado y sindicatos.  Solo el libre mercado laboral es la solución.  Hoy Ecuador está en el puesto 170 de libertad económica pic.twitter.com/3ab6eFH2pQ	0	1	4	2020-01-02	EC
46	/monestupinan/status/1212832891354451968	2020-01-02 14:27:49	Apenas uno de cada tres ecuatorianos en edad productiva tiene un empleo pleno, es decir con derechos laborales como: afiliación al seguro social y pago de otras prestaciones. Los dos tercios de la población o está desempleado o tiene un empleo irregular #Ecuador https://twitter.com/monestupinan/status/1208792622288031744 …	0	14	14	2020-01-02	EC
45	/DOMINGOZARACAY/status/1212831212848533510	2020-01-02 14:21:09	El Ecuador del 2019: deuda, déficit, desempleo y paro - La Barra Espaciadora http://bit.ly/39wxVt7 	0	0	0	2020-01-02	EC
53	/Seguridad593/status/1212827859250749445	2020-01-02 14:07:49	"Quito es la ciudad con mayor desempleo en el Ecuador. Según el @Ecuadorencifras, a nivel nacional más de 5 millones de ecuatorianos busca empleo adecuado.
Vía: @EcuavisaInforma pic.twitter.com/eq9ITmW5Kz"	0	0	0	2020-01-02	EC
62	/sonoonda997/status/1212853890389073926	2020-01-02 15:51:15	El país empieza el 2020 con cifras duras en cuanto a desempleo se refiere ya que más de 5 millones de personas en Ecuador no tienen un trabajo adecuado. http://www.sonoonda.com/index.php/noticias/923-el-pais-empieza-el-2020-con-cifras-duras-en-cuanto-a-desempleo-se-refiere-ya-que-mas-de-5-millones-de-personas-en-ecuador-no-tienen-un-trabajo-adecuado …	0	0	1	2020-01-02	EC
65	/LuisMongeE/status/1212769063732228096	2020-01-02 10:14:11	"#Atención En Ecuador más de cinco millones de ecuatorianos no tienen un empleo adecuado.

¡Uno de los principales retos! @SomosRC_Ec https://twitter.com/revistavistazo/status/1212748336626839554 …"	0	18	15	2020-01-02	EC
64	/EspaciadoraBar/status/1212829313755688960	2020-01-02 14:13:36	El #Ecuador del 2019: deuda, déficit, desempleo y paro | Por Gabriela Montalvo  http://bit.ly/39wxVt7  @mgmontalvo pic.twitter.com/iynYSjhgt1	0	10	7	2020-01-02	EC
79	/Angel_Mariduena/status/1212771385640136704	2020-01-02 10:23:25	Cuarto: ¿Queremos crecer? hay que promover crecimiento y empleo. En este punto es importante aclarar que no basta con tener una tasa de desempleo en mínimos históricos, pues hay que mirar también la composición del mercado de trabajo. Ecuador clama por empleo digno. pic.twitter.com/euJLflNslb	1	2	6	2020-01-02	EC
78	/OrtegaSegorteca/status/1212783400202973186	2020-01-02 11:11:09	"Solo para que vean, esta prensa apoya y protege a este gobierno, por lo que la prensa jamás responde a interese del pueblo .

Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … vía @revistavistazo"	0	0	0	2020-01-02	EC
77	/xavieralban3/status/1212784130183892992	2020-01-02 11:14:03	Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … vía @revistavistazo	0	0	0	2020-01-02	EC
76	/Eva_CordovaE/status/1212771656491511809	2020-01-02 10:24:29	"""Tenemos q estar hoy más q nunca Unidos y organizados que el 2021 nos encuentren sin miedo y sin temor, queremos un Ecuador de democracia, de justicia, con empleo"""	1	0	0	2020-01-02	EC
75	/wgomezr/status/1212771668881559552	2020-01-02 10:24:32	"#INCREIBLE
Los ""panas"" se le viran a #ElPeorGobiernoDeLaHistoria 
Mira lo que ha compartido Vistazo. Las cifras más altas de desempleo en Ecuador en los últimos 3 años @MashiRafael @SomosRC_Ec @somos_rc @Sandinin @JorgeGlas @consuemary @marcelaguinaga https://www.vistazo.com/ "	6	76	119	2020-01-02	EC
74	/drdarwinpantoja/status/1212773412038488065	2020-01-02 10:31:28	#Ecuador Más de 5 millones de personas no tienen empleo... https://www.facebook.com/1528552044/posts/10221527277561162/ …	0	0	0	2020-01-02	EC
73	/TweetAguilar/status/1212777587413594112	2020-01-02 10:48:03	Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos?fbclid=IwAR1LxVgvDZJyzj7_H2mUFwZhbq622qde3NoZVQocI4bEco5cUU5A-NL9a-k …	0	0	0	2020-01-02	EC
72	/BANDEMBORE/status/1212780799461904384	2020-01-02 11:00:49	Ambos un desastre por eso ya no creo en la política, tenía 14 años cuando llegó el del pan, techo y empleo; 40 cuando correa El Salvador, una total desilusión, vivo en usa porque no tuve oportunidades en Ecuador a pesar de tener títulos de Máster y PhD, imagine mi desilusión	1	0	0	2020-01-02	EC
71	/chsp_radio/status/1212816133256105992	2020-01-02 13:21:13	Alrededor de 5 millones de ciudadanos no tienen empleo adecuado. Quito es una de las ciudades con situación de desempleo crítica. Según estudios realizados, de los últimos 3 años Ecuador llega al nivel más alto de desempleo. https://twitter.com/ecuainm_oficial/status/1212769138617339905 …	0	0	1	2020-01-02	EC
70	/moibotta/status/1212805906876059649	2020-01-02 12:40:35	Ecuador llega al nivel más alto de desempleo en últimos 3 años. Medidas neoliberales...y esto sigue subiendo... https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … vía @revistavistazo	1	3	5	2020-01-02	EC
69	/pablosalgadoj/status/1212769942313033729	2020-01-02 10:17:41	Según el reporte del Instituto Nacional de Estadística y Censos (INEC), Ecuador llegó al nivel más alto de desempleo en los últimos tres años. Seguiremos mirando a otro lado? https://twitter.com/revistavistazo/status/1212748336626839554 …	0	0	1	2020-01-02	EC
68	/LuisDia90828631/status/1212797946879729664	2020-01-02 12:08:57	Y como quieren que se cumpla la dichosa frase: Al Ecuador se la saca trabajando, si no hay empleo????	0	0	0	2020-01-02	EC
67	/RafaelEmilioC/status/1212803934466785285	2020-01-02 12:32:45	Ecuador llega al nivel más alto de desempleo en últimos 3 años http://bit.ly/2rPcrH1 	0	0	0	2020-01-02	EC
66	/chsp_radio/status/1212819986777067520	2020-01-02 13:36:32	Según el reporte del Instituto Nacional de Estadística y Censos, Ecuador llegó al nivel más alto de desempleo en los últimos tres años. Y que conste que lo publica la Revista Vistazo, miembro de la prensa aliada al Gobierno de Moreno. Le dan con su propia medicina; la traición. https://twitter.com/revistavistazo/status/1212748336626839554 …	0	0	1	2020-01-02	EC
44	/VicenteTaianoEC/status/1212822977919815680	2020-01-02 13:48:25	Ya estamos analizando una reforma integral laboral que respete derechos de los trabajadores y que a la vez descomplique la contratación e innove fuentes de trabajo. Esperemos que podamos tener esta reforma lo antes posible para generar más plazas de empleo en el Ecuador.	11	14	66	2020-01-02	EC
63	/cueva_tapia/status/1212820409265074182	2020-01-02 13:38:13	@juanseroldan haga caso, mande la pauta, sino cree mire lo que publica Vistazo sobre el desempleo en Ecuador. No se atrace en los pagos, sino salen las verdades desde sus pautados. https://twitter.com/pazmino_anibal/status/1212775298296614912 …	0	0	0	2020-01-02	EC
43	/alapsenae/status/1212756942298464256	2020-01-02 09:26:01	Ecuador llega al nivel más alto de desempleo en últimos 3 años http://tinyurl.com/rx9hqo7  vía @revistavistazo	0	0	0	2020-01-02	EC
52	/YanethR57749456/status/1212874343337938944	2020-01-02 17:12:32	Pero para la prensa mercenaria Ecuador es un país desarrollado con bazofia todo está de maravilla, aquí hay empleo no hay ningún desempleo porque la empresa privada y la inversión extranjera hace rato que puso empleos a disposición del pueblo ecuatoriano verdad prensa corrupta	0	0	2	2020-01-02	EC
41	/Multimpactos/status/1212899874875805696	2020-01-02 18:53:59	Más de 5 millones de personas no tienen un empleo adecuado en Ecuador https://www.ecuavisa.com/articulo/noticias/nacional/559356-mas-5-millones-personas-no-tienen-empleo-adecuado-ecuador … pic.twitter.com/Oh5dF4b8DO	0	0	0	2020-01-02	EC
21	/RommelEcuador/status/1212951301019045889	2020-01-02 22:18:20	El desempleo describe la realidad de un país en crisis. #Ecuador https://twitter.com/ecuainm_oficial/status/1212769138617339905 …	0	0	1	2020-01-02	EC
20	/csr_costa/status/1212954363095846913	2020-01-02 22:30:30	Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … vía @revistavistazo	1	15	20	2020-01-02	EC
19	/YBarahon/status/1212704902746648576	2020-01-02 05:59:14	El Ecuador tiene el índice de desempleo más alto de los últimos años, mientras un sector tiene 560 millones de beneficio. Es correcto lo q dice, ojalá todos los negocios ganen más de 560 millones al año, sin embargo en una economía en recesión eso es imposible	1	0	6	2020-01-02	EC
18	/pichinchauniver/status/1212757900386557952	2020-01-02 09:29:50	"#ATENCIÓN | ""Queremos un Ecuador con democracia, con justicia y empleo”, dijo @PaolaPabonC a su llega a @PichinchaGob para retomar sus funciones como titular de esta entidad. http://www.pichinchacomunicaciones.com.ec/vamos-a-enfrentar-la-recuperacion-de-la-patria-en-las-urnas-paola-pabon/ …"	1	80	167	2020-01-02	EC
17	/giancarloruffa/status/1212957831877533697	2020-01-02 22:44:17	Top story: Ecuador llega al nivel más alto de desempleo en últimos 3 años | Vistazo https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos …, see more http://tweetedtimes.com/giancarloruffa?s=tnp …	0	0	0	2020-01-02	EC
16	/EstebanVillama9/status/1212756363090247680	2020-01-02 09:23:43	Si esto es verdad, va a ser muy duro para los habitantes de #Quito poder pagar, y más ahora con el récord de desempleo que castiga a la ciudad y a todo el #Ecuador	0	1	0	2020-01-02	EC
15	/radioi99/status/1212753723744759808	2020-01-02 09:13:14	#ATENCIÓN| Según el reporte del Instituto Nacional de Estadística y Censos (INEC), Ecuador llegó al nivel más alto de desempleo en los últimos 3 años. Más de 5 millones de ecuatorianos no tienen un empleo adecuado. pic.twitter.com/zcX7OcURZW	0	3	0	2020-01-02	EC
14	/Seguridad593/status/1212887118021832709	2020-01-02 18:03:17	 Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … vía @revistavistazo	0	0	0	2020-01-02	EC
13	/Jcobando5/status/1212844478832222209	2020-01-02 15:13:51	"DESEMPLEO EN EL ECUADOR EN EL NIVEL MÁS ALTO DESDE QUE ASUMIÓ EL PODER EL ENJAULADO....SEGURO ESTE ASQUEROSO INQUILINO DE CARONDELET PEDIRÁ LA DESTITUCIÓN DEL DIRECTOR DEL INEC POR ""MENTIR""...."	0	0	1	2020-01-02	EC
42	/willian18410696/status/1212838108808519680	2020-01-02 14:48:33	#IMPORTANTE Según estudios realizados por #INEC, de los últimos 3 años #Ecuador llega al nivel más alto de desempleo. Alrededor de 5 millones de ciudadanos no tienen empleo adecuado. #Quito es una de las ciudades con situación de desempleo crítica. pic.twitter.com/ZTsZWc9pNk	1	6	3	2020-01-02	EC
11	/IngNoriega/status/1212965684377985024	2020-01-02 23:15:29	"En la verga... 
Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos …"	0	0	0	2020-01-02	EC
10	/Outspok94065663/status/1212964336009961472	2020-01-02 23:10:08	"Ecuador llega al nível más alto de desempleo en últimos 3 años 

[Via: Vistazo] pic.twitter.com/OKweDEPdKJ"	0	0	0	2020-01-02	EC
9	/CarlosTutivenV/status/1212962045131415553	2020-01-02 23:01:01	La mano de obra abunda, pero las ofertas de #trabajo son muy pocas en el #Ecuador. Más de 5 millones de #ecuatorianos no tienen #empleo adecuado.	0	1	2	2020-01-02	EC
8	/Rock__Cv/status/1212764761554857984	2020-01-02 09:57:05	"""Si hay trabajo"", pero que desgracia, en serio. Este país que es mi lindo Ecuador está sumergido en lo peor hpta, la ignorancia, la falta de cultura, el desempleo, la pobreza, delincuencia, todo está en la verg... https://twitter.com/revistavistazo/status/1212748336626839554 …"	0	0	0	2020-01-02	EC
7	/Primicias/status/1212735425623797760	2020-01-02 08:00:31	El número de empresas de alto crecimiento en Ecuador es pequeño y ha venido disminuyendo desde 2016. No obstante, su aporte es determinante en cuanto a producción, empleo, rendimiento y exportaciones. » http://prim.ec/ofLe50xLeke 	0	1	8	2020-01-02	EC
22	/ecuainm_oficial/status/1212769138617339905	2020-01-02 10:14:29	#IMPORTANTE Según estudios realizados por @Ecuadorencifras, de los últimos 3 años #Ecuador llega al nivel más alto de desempleo. Alrededor de 5 millones de ciudadanos no tienen empleo adecuado. #Quito es una de las ciudades con situación de desempleo crítica. pic.twitter.com/pfE4mmbMRs	10	250	203	2020-01-02	EC
23	/CEDOCUT/status/1212726586396565504	2020-01-02 07:25:24	".@MTatamuez los empleadores deben invertir en el país para generar empleo. No pueden excusarse en que no hay seguridad jurídica. La fuga de capitales no aporta con la economía de Ecuador. @notihoyecuador
97.7 F.M
http://centroecuador.ec/tv-radio/ "	3	3	2	2020-01-02	EC
12	/Olibur103/status/1212690178202066944	2020-01-02 05:00:43	Un empresario paga mensual este mano de obra. Porque la economia en Europa o EEUU esta mucho mejor que en Ecuador? Recuerda un empleado recibe sueldo decimo tercer decimo cuarto fondo de reserva uniforme utilidades y desahucio. Puede ser porque es demasiado y ya no hay empleo.	2	0	0	2020-01-02	EC
25	/infolojaec/status/1212766312709181441	2020-01-02 10:03:15	"ECUADOR LLEGA AL NIVEL MÁS ALTO DE DESEMPLEO EN ÚLTIMOS 3 AÑOS

#InfoNacional | Según el reporte del Instituto Nacional de Estadística y Censos (INEC), Ecuador llegó al nivel más alto de desempleo en los últimos… https://www.instagram.com/p/B60sIEPgdES/?igshid=1gtr5ftxq0ooo …"	0	0	1	2020-01-02	EC
24	/PlanaIbarra/status/1212917086311374848	2020-01-02 20:02:22	#IMPORTANTE Según estudios realizados por @Ecuadorencifras, de los últimos 3 años #Ecuador llega al nivel más alto de desempleo. Alrededor de 5 millones de ciudadanos no tienen empleo adecuado.	0	0	0	2020-01-02	EC
40	/LEXKANDER/status/1212906404308291585	2020-01-02 19:19:56	"2018 pactos, condonaciones, puestos a dedo

2019 bangos triplican utilidades, precariedad laboral

2020  Ecuador llega al nivel de desempleo más alto

2020 la mayoría de medios están comprados y los que no, son sensurados o silenciados

El modelo de #LassoNebotMoreno fracasó pic.twitter.com/VB3bykXIwp"	0	1	2	2020-01-02	EC
39	/ElOrienteEc/status/1212923103845736448	2020-01-02 20:26:17	Ecuador llega al nivel más alto de desempleo en últimos 3 años http://j.mp/2tlMT4K  via @ElOrienteEc pic.twitter.com/Nr6MCHTVir	0	1	0	2020-01-02	EC
37	/Via593/status/1212931215650643968	2020-01-02 20:58:31	"Más de CINCO MILLONES sin empleo adecuado en Ecuador, mientras gobierno habla de ""plan prosperidad"".
https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos …"	0	0	0	2020-01-02	EC
36	/joliepaitoo/status/1212928836859564032	2020-01-02 20:49:04	5 millones de ecuatorianos no tienen empleo gracias a Moreno y su ministros vagos Gracias a la crisis económica en que a sumido al Ecuador por fin la prensa comienza a decir la verdad pero no al culpable 	0	0	2	2020-01-02	EC
35	/edwindanielroja/status/1212942090864332801	2020-01-02 21:41:44	"#Nacional | ECUADOR llega al nivel más alto de desempleo en últimos 3 años

Según el reporte del Instituto Nacional de Estadística y Censos (INEC), Ecuador llegó al nivel más alto de desempleo en los últimos 30 años . pic.twitter.com/14e654j7nJ"	0	1	2	2020-01-02	EC
34	/EdwinDanielRoj6/status/1212941607701504001	2020-01-02 21:39:49	"#Nacional | ECUADOR llega al nivel más alto de desempleo en últimos 3 años

Según el reporte del Instituto Nacional de Estadística y Censos (INEC), Ecuador llegó al nivel más alto de desempleo en los últimos tres años. pic.twitter.com/6hrqCuENqa"	0	1	1	2020-01-02	EC
38	/HANPASHA/status/1212939082428506112	2020-01-02 21:29:47	"Según el reporte del Instituto Nacional de Estadística y Censos (INEC), Ecuador llegó al nivel más alto de desempleo en los últimos tres años.
 Más de cinco millones de ecuatorianos no tienen un empleo adecuado."	0	1	1	2020-01-02	EC
32	/jcobap/status/1212951944995758087	2020-01-02 22:20:53	Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … vía @revistavistazo	0	0	0	2020-01-02	EC
31	/revistavistazo/status/1212917505330761728	2020-01-02 20:04:02	¡Vea qué informó el Instituto Nacional de Estadística y Censos (#INEC) sobre el nivel de desempleo y subempleo en Ecuador! https://buff.ly/2Fg7FW2 pic.twitter.com/zVSLD26GzA	11	92	56	2020-01-02	EC
30	/pericorten/status/1212916149740015617	2020-01-02 19:58:39	Quito la ciudad con más desempleo del Ecuador, vamos a vivir a Manta.	0	0	1	2020-01-02	EC
29	/arseniop99/status/1212915509915721729	2020-01-02 19:56:07	250.000 empleos fue el ofrecimiento de campaña de Lenín Moreno Presidencia de Ecuador NO ha cumplido, y el desempleo es mayor. Aumentaron 18.000 burócratas morenistas. Otra burla más al pueblo ecuatoriano. Secretaría General de Comunicación Ecuador... https://www.facebook.com/arsenio.proano/posts/10157119585527632 …	0	0	1	2020-01-02	EC
28	/NarrativaEcono2/status/1212926635873308673	2020-01-02 20:40:19	"Son más d 5 millones d ecuatorian@s que no tienen un empleo adecuado y tienen q verse la manera d generar ingresos para subsistir. 
No hay política econ.d reactivación.     
Ecuador llega al nivel más alto de desempleo en últimos 3 años http://tinyurl.com/rx9hqo7  via @revistavistazo"	0	2	1	2020-01-02	EC
27	/luisintriago28/status/1212923681934135296	2020-01-02 20:28:35	Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos …	0	0	0	2020-01-02	EC
33	/AdnRadio74/status/1212917614219071490	2020-01-02 20:04:28	¡Vea qué informó el Instituto Nacional de Estadística y Censos (#INEC) sobre el nivel de desempleo y subempleo en Ecuador! http://bit.ly/2rPcrH1 	0	0	0	2020-01-02	EC
26	/franciscostere/status/1212913523505938435	2020-01-02 19:48:13	El Instituto Nacional de Estadísticas y Censos (#INEC) emitió un informe indicando que #Ecuador llegó al nivel más alto de #desempleo en los últimos tres años. El informe detalla que cinco millones de ecuatorianos no tienen un empleo adecuado. pic.twitter.com/OJMu66ZIlt	0	1	0	2020-01-02	EC
108	/gaibor_milton/status/1213095398035935234	2020-01-03 07:50:55	Ecuador llegó al nivel más alto de desempleo según el INEC https://www.metroecuador.com.ec/ec/noticias/2020/01/02/ecuador-llego-al-nivel-mas-alto-desempleo-segun-inec.html …	0	1	0	2020-01-03	EC
117	/humanchoice_dho/status/1213135917730410499	2020-01-03 10:31:56	#empleo #Ambato #ecuador #Tungurahua #trabajo #oportunidadlaboral pic.twitter.com/K629jqiRPI	0	1	0	2020-01-03	EC
116	/drdarwinpantoja/status/1213227080915312640	2020-01-03 16:34:11	#Ecuador El país en el que soñó #LeninMoreno llegó, 5 millones de ecuatorianos estamos sin empleo adecuado... #cruda #realidad https://www.facebook.com/1528552044/posts/10221538630404976/ …	0	0	0	2020-01-03	EC
115	/vtdh1485/status/1213112520795459589	2020-01-03 08:58:58	Ecuador llega al nivel más alto de desempleo en últimos 3 años https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos … vía @revistavistazo	0	0	1	2020-01-03	EC
114	/ChiquitaEnrique/status/1213143221678817280	2020-01-03 11:00:57	Como no va a ver desempleo en el Ecuador si dan preferencia a los venezolanos ya que se les paga mucho menos de lo que corresponde tambien hay diferentes profesiones que ocupan el lugar en diferentes ámbitos laborales sin respetar el título obtenido	0	0	0	2020-01-03	EC
110	/eriovp/status/1213133611672702976	2020-01-03 10:22:46	Es la ley de la vida, no es de locos que los más flexibles son los que el empleo crece y todos en Ecuador bien sentados, rascándose las bolas por falta de trabajo.	0	0	0	2020-01-03	EC
112	/LucioGutierrez3/status/1213135500187447296	2020-01-03 10:30:16	El pueblo está desesperado no hay trabajo, 5 millones 200 mil ecuatorianos no tienen empleo. Proponemos medidas pragmáticas convertir al #Ecuador en un Centro Financiero Internacional como lo hizo #Panamá pic.twitter.com/ohfRnAxGFI	33	22	59	2020-01-03	EC
111	/RositaSuyana/status/1213325135828127745	2020-01-03 23:03:49	"Más de CINCO MILLONES sin empleo adecuado en Ecuador, mientras gobierno habla de ""plan prosperidad"". OP https://www.vistazo.com/seccion/pais/actualidad-nacional/ecuador-llega-al-nivel-mas-alto-de-desempleo-en-ultimos-3-anos …"	1	0	0	2020-01-03	EC
109	/cerolatitud_ec/status/1213087350961647617	2020-01-03 07:18:57	"#NOTICIAS | Ecuador llega al nivel más alto de desempleo
http://bit.ly/ecuadordes20 
#SomosCeroLatitud #SomosComunicacion #Quito #Ecuador #desempleo"	0	1	0	2020-01-03	EC
118	/Dijaram/status/1213132064666595329	2020-01-03 10:16:37	Desempleo siempre hubo y habrá en ecuador x el tipo de presidentes q escogen Uds. paquetazo NO xq tuvo una década petrolera exitosa, dejaron las vacas flacas para el gil de moreno	1	0	0	2020-01-03	EC
